,tweets_id,retweet_count,likes_count
232,846139713627017216,9176,28847
233,846042936437604353,2593,14837
234,845812042753855489,7881,27064
235,845677943972139009,4388,23471
236,845397057150107648,1622,7094
237,845306882940190720,4868,21654
238,845098359547420673,6953,0
239,844979544864018432,2317,12693
240,844973813909606400,2860,13948
241,844580511645339650,2821,15307
242,844223788422217728,1994,12711
243,843981021012017153,2701,14138
244,843856843873095681,4175,19987
245,843604394117681152,2484,15721
246,843235543001513987,5428,19999
247,842846295480000512,3318,14236
248,842765311967449089,1177,6301
249,842535590457499648,3188,16941
250,842163532590374912,5269,22770
251,842115215311396866,2763,13055
252,841833993020538882,13604,0
253,841680585030541313,7170,24065
254,841439858740625411,3335,11753
255,841320156043304961,5027,18441
256,841314665196081154,4243,14765
257,841077006473256960,4894,21359
258,840761248237133825,1622,0
259,840728873075638272,14617,0
260,840698636975636481,2,165
261,840696689258311684,891,11500
262,840632337062862849,1622,8440
263,840370681858686976,4186,15355
264,840268004936019968,5228,17928
265,839990271299457024,2072,12553
266,839549326359670784,7085,25619
267,839290600511926273,132,0
268,839239871831150596,5953,25268
269,838952994649550848,3667,18400
270,838921590096166913,1858,10435
271,838916489579200512,31,0
272,838831947270979586,10052,0
273,838561493054533637,1234,10259
274,838476387338051585,4353,21007
275,838201503651401729,9220,0
276,838150277551247360,304,1570
277,838085839343206401,1,133
278,838083903487373313,2849,16491
279,837820167694528512,7170,31879
280,837482249356513284,408,3614
281,837471256429613056,2065,12002
282,837110210464448512,2185,15078
283,836989968035819520,2119,11968
284,836753516572119041,4271,18158
285,836677758902222849,2026,11863
286,836648853927522308,508,0
287,836397794269200385,25135,0
288,836380477523124226,2749,13922
289,836260088725786625,3987,19981
290,836001077879255040,3902,17927
291,835685285446955009,7433,0
292,835574547218894849,3305,16683
293,835536468978302976,1547,0
294,835309094223372289,19204,0
295,835297930240217089,2747,15453
296,835264098648616962,1547,7248
297,835246439529840640,63,1992
298,835172783151792128,5305,24602
299,835152434251116546,2764,20980
300,834931633769889797,1495,10121
301,834786237630337024,5114,20251
302,834574053763584002,2317,12828
303,834477809192075265,9788,0
304,834458053273591808,1550,9045
305,834209720923721728,4338,19279
306,834167344700198914,3371,14857
307,834089966724603904,1969,9465
308,834086379323871233,2044,12260
309,833863086058651648,2215,12646
310,833826103416520705,3492,17096
311,833732339549220864,205,0
312,833722901757046785,3002,19717
313,833479644947025920,1894,14032
314,833124694597443584,4452,19008
315,832998151111966721,2024,12452
316,832769181346996225,38,0
317,832757312314028032,3325,15871
318,832682457690300417,2668,11159
319,832645525019123713,485,2742
320,832636094638288896,2567,14922
321,832397543355072512,2038,11257
322,832369877331693569,2927,16101
323,832273440279240704,2149,10667
324,832215909146226688,5734,0
325,832215726631055365,8602,0
326,832088576586297345,2,58
327,832040443403784192,8838,0
328,832032802820481025,4308,16798
329,831939777352105988,5663,22500
330,831926988323639298,34,319
331,831911600680497154,5992,25887
332,831670449226514432,1690,9796
333,831650051525054464,1790,6690
334,831552930092285952,2163,8467
335,831322785565769729,1447,8757
336,831315979191906304,1039,6182
337,831309418084069378,2273,11108
338,831262627380748289,1894,11179
339,830956169170665475,1379,7519
340,830583320585068544,15437,62518
341,830173239259324417,5251,0
342,830097400375152640,2703,9181
343,829878982036299777,4615,0
